iter	RMSE
0	0.3962844415
1	0.393289657
2	0.3905929502
3	0.3876842415
4	0.3850157042
5	0.3822039043
6	0.3796729675
7	0.3768529528
8	0.3741848453
9	0.3714813179
10	0.3687423301
11	0.3661606394
12	0.3635572265
13	0.3610138498
14	0.3584328369
15	0.3557355641
16	0.3532199309
17	0.3507893089
18	0.3484493373
19	0.3459389932
20	0.3435051821
21	0.3412467826
22	0.338962368
23	0.3366838858
24	0.3343424378
25	0.3319555934
26	0.3294779529
27	0.3272142556
28	0.324974997
29	0.3229236095
30	0.321021382
31	0.3188719414
32	0.3170079548
33	0.3149522572
34	0.3129358135
35	0.310948633
36	0.3088772588
37	0.3069000438
38	0.3050968247
39	0.3031617062
40	0.3013487455
41	0.2994556416
42	0.2975571088
43	0.2956186277
44	0.2937483952
45	0.2918787019
46	0.2901249027
47	0.2882602628
48	0.2865371045
49	0.2847882235
50	0.2830788993
51	0.2814018958
52	0.2796767576
53	0.2780894626
54	0.276418044
55	0.274745592
56	0.2731700473
57	0.2714478009
58	0.2697470749
59	0.2681065175
60	0.2664672297
61	0.264951273
62	0.2632672845
63	0.2619231878
64	0.2604724275
65	0.258958203
66	0.2573547597
67	0.2558419299
68	0.2545770539
69	0.2530941853
70	0.2516926585
71	0.2502776497
72	0.2488853301
73	0.2475143017
74	0.2462254034
75	0.2448017053
76	0.2435486826
77	0.2421506001
78	0.2408408055
79	0.2395870402
80	0.2382257114
81	0.2369905813
82	0.2356256831
83	0.2342606516
84	0.2329856018
85	0.2317692112
86	0.2305669987
87	0.2293356435
88	0.2281588508
89	0.2269898249
90	0.225749137
91	0.2246371031
92	0.2234210896
93	0.2222385027
94	0.2210307761
95	0.2199014915
96	0.2187314184
97	0.2176772581
98	0.2165783714
99	0.2154877671
100	0.2144241438
101	0.2134437402
102	0.2123339814
103	0.21134492
104	0.2104079315
105	0.2094265909
106	0.2084135697
107	0.2074447604
108	0.2064981396
109	0.2054153542
110	0.2044541541
111	0.2035203736
112	0.2027056442
113	0.2017753923
114	0.2009007857
115	0.2000306285
116	0.1991529474
