iter	Logloss
0	0.663055145
1	0.6379941513
2	0.6166722542
3	0.5977747301
4	0.5821719403
5	0.5672186971
6	0.5540767374
7	0.5403375878
8	0.5315731992
9	0.5233015602
10	0.5135644183
11	0.5056010448
12	0.4996298175
13	0.4948660188
14	0.4890129415
15	0.4848511082
16	0.480662422
17	0.4747268031
18	0.4716337428
19	0.4679661822
20	0.4641910836
21	0.461001165
22	0.4581889666
23	0.454937865
24	0.4523467126
25	0.4497395211
26	0.4471770595
27	0.4444218541
28	0.4420614299
29	0.439931875
30	0.4375554481
31	0.4361497926
32	0.434292229
33	0.4326851299
34	0.4309715835
35	0.4297333575
36	0.4280134549
37	0.4264197456
38	0.4250602395
39	0.424002111
40	0.4224782532
41	0.4204986862
42	0.4191260123
43	0.4176150944
44	0.4157454615
45	0.4141114941
46	0.4131521004
47	0.411969098
48	0.4104551176
49	0.4096892908
50	0.4081395046
51	0.4075411664
52	0.4065621148
53	0.4053152447
54	0.4046320289
55	0.4040330757
56	0.4032155987
57	0.4021594336
58	0.4018146498
59	0.4012066015
60	0.4004701392
61	0.3997652231
62	0.3989442378
63	0.3975681064
64	0.3965758296
65	0.3958992456
66	0.3950529451
67	0.3944779975
68	0.3939338787
69	0.3932894414
70	0.3924065211
71	0.3917819531
72	0.3911933687
73	0.3908827145
74	0.3899975803
75	0.3894380533
76	0.3889696111
77	0.3885612483
78	0.3880356472
79	0.3874688717
80	0.3867838857
81	0.3864490888
82	0.3858418225
83	0.3854712416
84	0.38510001
85	0.3848179977
86	0.3845235073
87	0.3840976724
88	0.3836133493
89	0.3832097516
90	0.3825994776
91	0.3819554305
92	0.3814812214
93	0.38103937
94	0.3807803484
95	0.3806358831
96	0.3798977129
97	0.3794928785
98	0.3789929414
99	0.3786372692
100	0.3782681556
101	0.3779598723
102	0.377629611
103	0.3771857253
104	0.3767326018
105	0.3762411033
106	0.3762071344
107	0.3758605309
108	0.375741086
109	0.3754644404
110	0.3751573942
111	0.3746539449
112	0.3742183506
113	0.3739485039
114	0.3736010521
115	0.3734030538
116	0.3730172573
117	0.3726192911
118	0.3722283019
119	0.372186175
120	0.3718743757
121	0.3715077636
122	0.3713575763
123	0.3712212611
124	0.3709630194
125	0.3704786833
126	0.3701356852
127	0.3699899906
128	0.3697742178
129	0.3693629557
130	0.3688759655
131	0.3686831682
132	0.3683756937
133	0.3682145819
134	0.3679588987
135	0.3677147159
136	0.3673960052
137	0.3670699974
138	0.3668976276
139	0.3666254082
140	0.3664755171
141	0.3662082318
142	0.3658057606
143	0.365604599
144	0.3650495228
145	0.364547751
146	0.3642914259
