iter	Logloss
147	0.3639883029
148	0.3638399291
149	0.3637961389
150	0.363466689
151	0.3629970056
152	0.3625007143
153	0.3621789897
154	0.3618921418
155	0.3613931159
156	0.3611595469
157	0.3608959511
158	0.3607645851
159	0.3604184271
160	0.3603270841
161	0.3601500402
162	0.3600271146
163	0.359690668
164	0.3596432857
165	0.359305253
166	0.3589596045
167	0.358697117
168	0.3581840404
169	0.3579126643
170	0.3575211736
171	0.3572703812
172	0.3569516989
173	0.3568696655
174	0.3565329005
175	0.3562572114
176	0.3560374127
177	0.3557674085
178	0.3554347866
179	0.3552385864
180	0.3551096537
181	0.3547551177
182	0.3547023199
183	0.3544668051
184	0.3541539349
185	0.3539722569
186	0.3537357997
187	0.3535508888
188	0.3532697544
189	0.3531714821
190	0.352993496
191	0.3526439752
192	0.3522978177
193	0.3518870511
194	0.3515998588
195	0.3514573079
196	0.3512577274
197	0.3511385482
198	0.3509963612
199	0.35074144
200	0.3503436581
201	0.3501155981
202	0.3497900993
203	0.3496203432
204	0.3493660168
205	0.3492329933
206	0.3487971187
207	0.3485810276
208	0.3483750927
209	0.3481339215
210	0.3480331922
211	0.3477277362
212	0.3476241087
213	0.3475343316
214	0.347342897
215	0.3471133822
216	0.3469143112
217	0.3465074351
218	0.3463400855
219	0.3461571697
220	0.3459387958
221	0.3454393182
222	0.3451556963
223	0.3448983026
224	0.344762142
225	0.3446282465
226	0.3445774474
227	0.3443312918
228	0.3443105836
229	0.3441983972
230	0.3439275163
231	0.3438714288
232	0.3436680878
233	0.3434801788
234	0.3432989579
235	0.3430500368
236	0.3428970259
237	0.3426281692
238	0.3423889449
239	0.3421332786
240	0.3418306965
241	0.3415470486
242	0.3412237659
243	0.3411557191
244	0.3409653074
245	0.3407197481
246	0.3403329538
247	0.3402867022
248	0.3401216562
249	0.3398051214
250	0.3396873068
251	0.3394947738
252	0.339043647
253	0.3389373883
254	0.3387943192
255	0.3384894676
256	0.3381884835
257	0.3380293964
258	0.3378124819
259	0.3377555806
260	0.3372376792
261	0.337107756
262	0.3370160847
263	0.3367840458
264	0.3365747927
265	0.3361232146
266	0.336074682
267	0.3358393595
268	0.3355632433
269	0.3353041039
270	0.3352866899
271	0.3348944146
272	0.3348016846
273	0.3344543081
274	0.3341938257
275	0.3341453973
276	0.3337627479
277	0.3335329798
278	0.3333093607
279	0.3330495562
280	0.3327738821
281	0.3326771976
282	0.332560112
283	0.3323746906
284	0.332178814
285	0.3319584775
286	0.3317155831
287	0.3315736166
288	0.331387999
289	0.3312869324
290	0.3310974471
291	0.3309854979
292	0.3308205038
293	0.3306372491
294	0.3305196873
295	0.330263682
296	0.3300772913
297	0.3298512774
298	0.3296837505
299	0.3294564436
300	0.3292839232
301	0.3289162864
302	0.3286060947
303	0.328347749
304	0.3281141451
305	0.3279160903
306	0.3277600699
307	0.3273714154
308	0.3271503212
309	0.3268993956
310	0.3267616735
311	0.3264399708
312	0.3260710186
313	0.3256304582
314	0.3255607607
315	0.325314731
316	0.3249545433
317	0.3246516578
318	0.3244880659
319	0.3242218918
320	0.3239166177
321	0.3237631952
322	0.3234601706
323	0.3232591728
324	0.3230126189
325	0.3228040418
326	0.3224477803
327	0.3222901922
328	0.3222355471
329	0.3221726097
330	0.3219613562
331	0.3217488917
332	0.3215707647
333	0.3215044636
334	0.3213599077
335	0.321218939
336	0.3209114421
337	0.3207809648
338	0.3206732163
339	0.3204124458
340	0.3202433579
341	0.3201800106
342	0.320001907
343	0.3198485526
344	0.3197794203
345	0.319630856
346	0.3193293213
347	0.3191295978
348	0.3190004525
349	0.3186630199
350	0.3185569222
351	0.3183307208
352	0.3181550571
353	0.3179813793
354	0.3177697242
355	0.3174960939
356	0.3174277269
357	0.3172146363
358	0.3169403646
359	0.3168008968
360	0.316653705
361	0.3165173913
362	0.3161706011
363	0.3160391059
364	0.3158397962
365	0.3157551973
366	0.3157175133
367	0.3155296827
368	0.3153290956
369	0.3151946749
