iter	RMSE
0	29.71855906
1	26.825909
2	24.44132955
3	22.22762481
4	20.4377732
5	18.88419801
6	17.64965938
7	16.47921881
8	15.44568999
9	14.59115373
10	13.80854064
11	13.17896508
12	12.64864346
13	12.24734868
14	11.88323801
15	11.60877535
16	11.34774142
17	11.16539982
18	10.92772689
19	10.73257348
20	10.5755555
21	10.46996667
22	10.30648854
23	10.16354803
24	10.11154234
25	10.00946524
26	9.885568875
27	9.764450014
28	9.660542762
29	9.545742471
30	9.451443423
31	9.380616222
32	9.353906305
33	9.345185204
34	9.228186699
35	9.189456136
36	9.136759328
37	9.115622511
38	9.049464026
39	9.043876928
40	9.022762348
41	8.961645741
42	8.850726887
43	8.840944286
44	8.781607432
45	8.707947321
46	8.641491032
47	8.591519881
48	8.549450903
49	8.504050195
50	8.453761461
51	8.409007247
52	8.343404573
53	8.292055607
54	8.234522215
55	8.203620568
56	8.167051169
57	8.15111145
58	8.101765987
59	8.066636578
60	8.040368773
61	8.008529386
62	7.991385534
63	7.939513336
64	7.937831329
65	7.890343004
66	7.826683565
67	7.79210771
68	7.763329836
69	7.716947178
70	7.685727878
71	7.64631213
72	7.633211777
73	7.584608477
74	7.542079618
75	7.505772813
76	7.467764267
77	7.436653008
78	7.397844365
79	7.37206164
80	7.318773551
81	7.302833291
82	7.284925911
83	7.253932969
84	7.231262389
85	7.20634909
86	7.17866876
87	7.142479391
88	7.097514729
89	7.064595156
90	7.034888791
91	6.976760045
92	6.967724019
93	6.948044364
94	6.937819046
95	6.924969762
96	6.910285115
97	6.904182084
98	6.872294129
99	6.841885664
100	6.815830729
101	6.799801754
102	6.755287351
103	6.734362306
104	6.707083799
105	6.681239563
106	6.65412797
107	6.605753527
108	6.60204689
109	6.580869569
110	6.54988239
111	6.527147055
112	6.509822326
113	6.488833313
114	6.455221341
115	6.443488457
116	6.42507256
117	6.421089475
118	6.40880074
119	6.385611776
120	6.366197207
121	6.338619305
122	6.324674378
123	6.285909277
124	6.271828668
125	6.24982506
126	6.238918977
127	6.225107909
128	6.207640552
129	6.166604593
130	6.144803744
131	6.132077277
132	6.116924197
133	6.115761212
134	6.112727204
135	6.096014247
136	6.082293942
137	6.064836781
138	6.057189644
139	6.03639825
140	6.0106086
141	5.99665977
142	5.973084388
143	5.951477347
