iter	RMSE
0	29.81970877
1	26.89331015
2	24.50303771
3	22.47127985
4	20.63721562
5	19.16916808
6	17.81675079
7	16.58069425
8	15.5763942
9	14.6961032
10	13.95339675
11	13.33288968
12	12.76339585
13	12.31117387
14	11.88857745
15	11.54787177
16	11.31296162
17	11.0364535
18	10.80085721
19	10.63875088
20	10.4893451
21	10.38535163
22	10.31268367
23	10.24107609
24	10.1313434
25	10.01237039
26	9.952098227
27	9.919272623
28	9.79728365
29	9.711475602
30	9.623958742
31	9.60523897
32	9.59281713
33	9.582316727
34	9.535579818
35	9.528907268
36	9.475182955
37	9.406657606
38	9.358847096
39	9.288016718
40	9.281212046
41	9.229756882
42	9.214485582
43	9.204560704
44	9.125683829
45	9.069207995
46	9.017659748
47	9.014079685
48	8.955695979
49	8.891887444
50	8.839238202
51	8.808504413
52	8.767576617
53	8.73397326
54	8.73069981
55	8.67034463
56	8.598169045
57	8.568484506
58	8.524798107
59	8.48434485
60	8.418151409
61	8.375950857
62	8.358895512
63	8.307952309
64	8.23910308
65	8.235489363
66	8.206411613
67	8.151232574
68	8.113732645
69	8.058832479
70	8.045180244
71	7.993484191
72	7.986046183
73	7.934246534
74	7.927250881
75	7.926649737
76	7.91884335
77	7.913175315
78	7.902240295
79	7.881870725
80	7.865473255
81	7.856726214
82	7.82280029
83	7.816749299
84	7.77685555
85	7.749076861
86	7.722729433
87	7.702426296
88	7.696148329
89	7.670985028
90	7.648230643
91	7.609818436
92	7.595846059
93	7.571148422
94	7.569886081
95	7.566664961
96	7.53153554
97	7.521080658
98	7.498627883
99	7.471530377
100	7.444188452
101	7.418668273
102	7.386750151
103	7.369696619
104	7.344851294
105	7.340693258
106	7.316730428
107	7.29912858
108	7.28375781
109	7.249411187
110	7.231596246
111	7.205684762
112	7.190985505
113	7.174574749
114	7.154186403
115	7.143572196
116	7.132356178
117	7.123242693
118	7.10195738
119	7.083722641
120	7.074912198
121	7.071809379
122	7.056370645
123	7.031023942
124	7.008737472
125	6.994695736
126	6.960972022
127	6.95435512
128	6.941233343
129	6.91769195
130	6.895184196
131	6.872232392
132	6.863648591
133	6.84680278
134	6.815738357
135	6.806330906
136	6.791120571
137	6.787387563
138	6.760109204
139	6.74929003
140	6.744275685
141	6.722708747
142	6.702483191
143	6.696844842
144	6.687529034
145	6.680631288
146	6.669568137
147	6.655628917
148	6.646776415
149	6.638137009
150	6.631530044
151	6.62503142
152	6.604260041
153	6.59424412
154	6.58737704
155	6.581826602
156	6.568735609
157	6.556033828
158	6.55366028
159	6.539830319
160	6.526960305
161	6.518841464
162	6.510054157
163	6.495467807
164	6.478533203
165	6.470504415
166	6.459369556
167	6.455028312
168	6.448046367
169	6.443728326
170	6.435064711
171	6.428588882
172	6.422979388
173	6.418117169
174	6.411261625
175	6.392814432
176	6.379868099
177	6.358763316
178	6.353648595
179	6.348980308
180	6.344103758
181	6.338793605
182	6.325557315
183	6.321325449
184	6.303551684
185	6.295579482
186	6.282899552
187	6.257263417
188	6.249633486
189	6.246554068
190	6.239769734
191	6.233890913
192	6.209405566
193	6.18600959
194	6.174342406
195	6.162534223
196	6.146244937
197	6.142228471
198	6.138273206
199	6.123122546
200	6.101851442
201	6.082800779
202	6.063383467
203	6.054984713
204	6.041134685
205	6.033717861
206	6.031346483
207	6.018305301
208	6.015136064
209	6.011978001
210	5.998492341
211	5.980413887
212	5.962911249
213	5.961864481
214	5.940536669
215	5.93687337
216	5.931378363
217	5.926341276
218	5.915760758
219	5.901132495
220	5.890280406
221	5.87917828
222	5.870628949
223	5.866434849
224	5.86164486
225	5.858031467
226	5.846317452
227	5.839077929
228	5.835345185
229	5.811727681
230	5.799520024
231	5.794683031
232	5.792300538
233	5.783848696
234	5.768531465
235	5.750327944
236	5.731239691
237	5.721497932
238	5.716275444
239	5.700064362
240	5.691307584
241	5.688181389
242	5.673749842
243	5.663988672
244	5.647701725
245	5.629521213
246	5.625114002
247	5.616194996
248	5.609481763
249	5.599756962
250	5.59390338
251	5.577122579
252	5.566701169
253	5.562552378
254	5.556422705
255	5.548826846
256	5.532109605
257	5.530557837
258	5.495885071
259	5.472215107
260	5.470099749
261	5.46040652
262	5.456179456
263	5.452837559
264	5.447094297
265	5.446941321
266	5.440962506
267	5.439537853
268	5.431036375
269	5.417143125
270	5.405435882
271	5.385276778
272	5.370913779
273	5.369576094
274	5.368968385
275	5.366869945
276	5.359130155
277	5.357526665
278	5.353735154
279	5.348907258
280	5.324011114
281	5.318783631
282	5.305907073
283	5.298614922
284	5.28642205
285	5.278493506
286	5.271551362
287	5.270522677
288	5.264617479
289	5.256985956
290	5.250845217
291	5.246089583
292	5.24051727
293	5.225527342
294	5.220367785
295	5.218117229
296	5.213458208
297	5.212891876
298	5.209860219
299	5.201289386
300	5.192541505
301	5.187251718
