iter	Passed	Remaining
0	3	3911
1	5	2533
2	6	2020
3	13	3412
4	17	3456
5	24	4073
6	27	3906
7	34	4331
8	45	5059
9	48	4788
10	60	5405
11	71	5874
12	73	5581
13	85	5994
14	98	6450
15	110	6817
16	111	6467
17	124	6809
18	128	6655
19	132	6471
20	136	6346
21	141	6272
22	141	6024
23	142	5799
24	155	6072
25	168	6299
26	169	6110
27	171	5957
28	184	6179
29	196	6368
30	205	6425
31	208	6310
32	210	6156
33	211	6004
34	225	6214
35	227	6081
36	241	6278
37	253	6413
38	264	6507
39	315	7562
40	317	7421
41	331	7571
42	335	7467
43	338	7344
44	349	7417
45	363	7536
46	376	7631
47	377	7491
48	389	7565
49	403	7671
50	427	7949
51	446	8148
52	461	8247
53	476	8351
54	477	8202
55	493	8315
56	509	8429
57	512	8315
58	529	8451
59	544	8529
60	557	8584
61	573	8669
62	579	8616
63	592	8661
64	604	8695
65	608	8604
66	619	8630
67	634	8689
68	646	8722
69	658	8743
70	671	8792
71	684	8820
72	696	8844
73	708	8868
74	712	8790
75	713	8679
76	725	8694
77	729	8622
78	741	8638
79	752	8652
80	763	8664
81	775	8683
82	787	8699
83	798	8712
84	811	8731
85	823	8753
86	836	8780
87	849	8805
88	863	8836
89	875	8848
90	888	8876
91	901	8892
92	912	8897
93	922	8889
94	923	8800
95	926	8729
96	938	8739
97	950	8748
98	962	8757
99	974	8770
100	985	8771
101	997	8780
102	1010	8796
103	1021	8801
104	1033	8806
105	1045	8818
106	1058	8832
107	1070	8843
108	1082	8845
109	1094	8857
110	1106	8859
111	1118	8868
112	1129	8866
113	1141	8872
114	1153	8873
115	1165	8878
116	1178	8890
117	1190	8896
118	1204	8916
119	1217	8929
120	1228	8923
121	1240	8926
122	1252	8929
123	1265	8940
124	1277	8942
125	1288	8939
126	1301	8944
127	1314	8956
128	1320	8914
129	1334	8929
130	1348	8946
131	1364	8969
132	1377	8977
133	1391	8993
134	1404	8997
135	1416	9001
136	1429	9003
137	1432	8949
138	1446	8960
139	1458	8962
140	1470	8961
141	1483	8964
142	1496	8967
143	1507	8962
144	1519	8962
145	1524	8917
146	1536	8917
147	1549	8920
148	1562	8923
149	1567	8880
150	1579	8881
151	1591	8877
152	1603	8879
153	1615	8874
154	1626	8867
155	1630	8820
156	1643	8824
157	1654	8817
158	1656	8761
159	1669	8762
160	1681	8763
161	1693	8761
162	1708	8775
163	1725	8795
164	1738	8797
165	1750	8794
166	1763	8796
167	1771	8774
168	1784	8774
169	1795	8765
170	1807	8764
171	1818	8756
172	1827	8736
173	1840	8736
174	1853	8739
175	1868	8749
176	1881	8746
177	1894	8749
178	1910	8761
179	1924	8768
180	1940	8780
181	1954	8783
182	1967	8786
183	1981	8787
184	1995	8789
185	2008	8788
186	2021	8789
187	2035	8789
188	2049	8795
189	2053	8754
190	2066	8753
191	2082	8765
192	2097	8772
193	2111	8770
194	2124	8768
195	2136	8764
196	2149	8761
197	2161	8756
198	2173	8747
199	2187	8748
200	2201	8753
201	2218	8765
202	2231	8762
203	2245	8762
204	2260	8767
205	2275	8771
206	2288	8767
207	2302	8766
208	2324	8796
209	2337	8794
210	2352	8795
211	2366	8794
212	2380	8795
213	2384	8758
214	2399	8759
215	2413	8760
216	2428	8761
217	2439	8752
218	2454	8754
219	2470	8760
220	2484	8758
221	2497	8754
222	2511	8752
223	2526	8752
224	2539	8747
225	2553	8744
226	2565	8737
227	2577	8728
228	2590	8720
229	2603	8715
230	2615	8708
231	2627	8696
232	2639	8688
233	2652	8683
234	2667	8683
235	2679	8674
236	2691	8664
237	2704	8660
238	2717	8653
239	2730	8646
240	2741	8633
241	2755	8630
242	2769	8626
243	2781	8618
244	2794	8610
245	2805	8598
246	2816	8586
247	2829	8579
248	2842	8572
249	2853	8561
250	2865	8549
251	2880	8549
252	2891	8538
253	2899	8514
254	2911	8505
255	2922	8493
256	2939	8497
257	2944	8469
258	2959	8466
259	2974	8465
260	2984	8449
261	2998	8446
262	3015	8451
263	3030	8447
264	3044	8444
265	3046	8405
266	3058	8397
267	3067	8378
268	3083	8379
269	3097	8374
270	3113	8376
271	3127	8371
272	3142	8367
273	3146	8337
274	3149	8304
275	3163	8297
276	3175	8289
277	3188	8281
278	3217	8315
279	3233	8314
280	3280	8392
281	3294	8389
282	3308	8382
283	3323	8378
284	3338	8376
285	3353	8371
286	3367	8366
287	3373	8340
288	3379	8314
289	3392	8305
290	3405	8297
291	3420	8294
292	3441	8304
293	3458	8304
294	3475	8305
295	3487	8293
296	3504	8294
297	3506	8259
298	3538	8295
299	3553	8290
300	3567	8284
301	3580	8274
302	3592	8265
303	3605	8254
304	3618	8246
305	3631	8236
306	3646	8231
307	3661	8226
308	3676	8220
309	3688	8210
310	3700	8198
311	3712	8187
312	3725	8177
313	3738	8168
314	3749	8154
315	3761	8141
316	3772	8128
317	3782	8112
318	3796	8104
319	3809	8094
320	3822	8085
321	3837	8080
322	3849	8068
323	3862	8059
324	3879	8057
325	3896	8056
326	3910	8048
327	3926	8045
328	3937	8030
329	3949	8018
330	3953	7990
331	3964	7976
332	3976	7964
