iter	RMSE
0	30.08465876
1	27.42836006
2	24.99084514
3	22.93116059
4	21.11078595
5	19.60835754
6	18.23756542
7	17.04746657
8	15.97790201
9	15.11986531
10	14.4101268
11	13.75375535
12	13.15357556
13	12.64610001
14	12.24587224
15	11.86811002
16	11.5384422
17	11.20290336
18	11.03671908
19	10.85071056
20	10.68947351
21	10.55979345
22	10.38368933
23	10.20811702
24	10.06124562
25	9.88916298
26	9.749802108
27	9.641670219
28	9.540622104
29	9.436115741
30	9.357366416
31	9.245228124
32	9.151787336
33	9.058364674
34	9.046961928
35	9.015421405
36	8.933932631
37	8.846968131
38	8.780754142
39	8.712219443
40	8.663071037
41	8.641909012
42	8.553284892
43	8.465797538
44	8.42757133
45	8.350647378
46	8.348815234
47	8.309822791
48	8.263140839
49	8.217448645
50	8.16653174
51	8.131293345
52	8.077259325
53	8.026261807
54	7.988804943
55	7.968219273
56	7.967577634
57	7.927264614
58	7.87021875
59	7.841377529
60	7.819838474
61	7.75958383
62	7.714591544
63	7.668266012
64	7.624563873
65	7.554016358
66	7.49547985
67	7.422060934
68	7.388138403
69	7.381216013
70	7.337946144
71	7.307942259
72	7.301381607
73	7.298148226
74	7.293785128
75	7.258034935
76	7.233357326
77	7.21772941
78	7.19050579
79	7.182822515
80	7.141863859
81	7.084139952
82	7.076534703
83	7.050549839
84	7.023570267
85	7.017352193
86	6.99853173
87	6.988760859
88	6.987929747
89	6.949717347
90	6.934333266
91	6.920323901
92	6.911176861
93	6.900701156
94	6.862661428
95	6.844171904
96	6.821611778
97	6.810624539
98	6.805427708
99	6.79239772
100	6.790144144
101	6.773656298
102	6.719415805
103	6.692727752
104	6.675754283
105	6.650379874
106	6.630050091
107	6.621921153
108	6.596453422
109	6.572860445
110	6.543979787
111	6.525877949
112	6.524943893
113	6.463944232
114	6.440320755
115	6.42517913
116	6.413181177
117	6.395630256
118	6.380177512
119	6.360848795
120	6.350429971
121	6.335949872
122	6.285846509
123	6.270438337
124	6.258075157
125	6.242095492
126	6.235057518
127	6.214692242
128	6.177706713
129	6.146514185
130	6.107184426
131	6.078502478
132	6.060438484
133	6.037027088
134	6.001075517
135	5.983365705
136	5.967873778
137	5.956172382
138	5.932126661
139	5.912924936
140	5.88497399
141	5.867673413
142	5.852937314
143	5.839030984
144	5.813851181
145	5.79541581
146	5.776771457
147	5.757400677
148	5.749861724
149	5.74129497
150	5.714705076
151	5.709892807
152	5.663041517
153	5.65345286
154	5.638139961
155	5.612755833
156	5.596161967
157	5.577989051
158	5.550371268
159	5.533497398
160	5.513422912
161	5.505533857
162	5.495357954
163	5.464267004
164	5.448972296
165	5.434799308
166	5.423483163
167	5.409607936
168	5.403703266
169	5.382128925
170	5.369590239
171	5.342217115
172	5.331589064
173	5.326907152
174	5.31432386
175	5.301604891
176	5.289838582
177	5.280037076
178	5.272534166
179	5.266164543
180	5.256907839
181	5.230403684
182	5.216131004
183	5.206011544
