iter	RMSE
0	14.46743637
1	14.42435229
2	14.38076798
3	14.33399146
4	14.30347473
5	14.26013294
6	14.21667169
7	14.18245149
8	14.13839818
9	14.09955939
10	14.05426934
11	14.0131294
12	13.97380416
13	13.93165907
14	13.89049485
15	13.85062931
16	13.81455629
17	13.77450838
18	13.73441223
19	13.69732505
20	13.66320696
21	13.6275928
22	13.59477676
23	13.56142857
24	13.52101033
25	13.48966824
26	13.45790024
27	13.41845988
28	13.38186543
29	13.34977609
30	13.31306121
31	13.27828821
32	13.24513067
33	13.21638443
34	13.18873842
35	13.1567733
36	13.12646702
37	13.09584377
38	13.06157114
39	13.0338273
40	13.00297268
41	12.97244591
42	12.94823164
43	12.91729104
44	12.88985467
45	12.85874077
46	12.83473388
47	12.80749981
48	12.77660382
49	12.74648711
50	12.72247701
51	12.69541718
52	12.67342661
53	12.64866851
54	12.62686179
55	12.60312248
56	12.57958002
57	12.56234285
58	12.54343745
59	12.52029327
60	12.49933622
61	12.48016756
62	12.45536737
63	12.4302032
64	12.40473012
65	12.3859826
66	12.3684065
67	12.34904697
68	12.32864838
69	12.30896557
70	12.29118073
71	12.27143563
72	12.25196124
73	12.22791394
74	12.20918438
75	12.1858663
76	12.16457079
77	12.15478814
78	12.13368794
79	12.11446601
80	12.09871216
81	12.07995533
82	12.06438638
83	12.04894924
84	12.03253709
85	12.01663462
86	11.99777755
87	11.98014862
88	11.96510048
89	11.94466619
90	11.92421045
91	11.90967117
92	11.89820891
93	11.88539842
94	11.87480782
95	11.85903451
96	11.84329331
97	11.8242758
98	11.81103455
99	11.80015393
100	11.78725811
101	11.77486185
102	11.7595808
103	11.7451189
104	11.7297773
105	11.71651771
106	11.70269794
107	11.69186998
108	11.67691701
109	11.66418925
110	11.6570574
111	11.64778302
112	11.63248434
113	11.61888704
114	11.60748549
115	11.59439047
116	11.57885413
117	11.56834575
118	11.55760398
119	11.54287776
120	11.53057688
121	11.51555193
122	11.50434538
123	11.49430896
124	11.48324722
125	11.47506465
126	11.46401453
127	11.45149247
128	11.43904898
129	11.42858588
130	11.42041083
131	11.41065544
132	11.40139364
133	11.39123944
134	11.37862054
135	11.37038664
136	11.36142185
137	11.3581903
138	11.34825739
139	11.33706456
140	11.32597168
141	11.31953146
142	11.31188705
143	11.30155102
144	11.29277203
145	11.28524376
146	11.2759843
147	11.26701082
148	11.25625524
149	11.25091439
150	11.24068497
151	11.23316502
152	11.22427389
153	11.2154379
154	11.20979835
155	11.20111487
156	11.19455004
157	11.18815533
158	11.18205878
159	11.17412002
160	11.16662627
161	11.15704676
162	11.15129966
163	11.14401223
164	11.13652417
165	11.1296958
166	11.12248674
167	11.11868949
168	11.11153745
169	11.10679699
170	11.10248142
171	11.09858446
172	11.08963985
173	11.08237424
174	11.0764972
175	11.06912514
176	11.06107214
177	11.05568172
178	11.04810432
179	11.04102351
180	11.03383753
181	11.02984433
182	11.02555796
183	11.01912727
184	11.01228319
185	11.00661163
186	10.99901208
187	10.99461723
188	10.98787003
189	10.97984136
190	10.97262486
191	10.96545518
192	10.95950299
193	10.95484965
194	10.94895518
195	10.94380997
196	10.93813746
197	10.93202987
198	10.92672155
199	10.9202269
200	10.91279796
201	10.90649272
