iter	RMSE
0	29.92314184
1	26.99730524
2	24.58851161
3	22.36953655
4	20.53007871
5	18.9797606
6	17.68861964
7	16.49460125
8	15.5626261
9	14.76695932
10	14.01608381
11	13.38646459
12	12.92583022
13	12.52128328
14	12.15084316
15	11.81573547
16	11.5279537
17	11.26412487
18	11.07855774
19	10.8624543
20	10.68617859
21	10.49945433
22	10.33098451
23	10.22881208
24	10.10501691
25	10.00317217
26	9.922433811
27	9.842829145
28	9.728550574
29	9.709940133
30	9.606735659
31	9.47728736
32	9.389816301
33	9.376557061
34	9.32129899
35	9.267833829
36	9.213269316
37	9.190513298
38	9.160795614
39	9.098226879
40	9.045413284
41	9.019131438
42	9.00196385
43	8.923895379
44	8.917461032
45	8.869003453
46	8.840309652
47	8.828401799
48	8.765475042
49	8.736178586
50	8.707660545
51	8.6827585
52	8.625870079
53	8.569640954
54	8.569146952
55	8.517105092
56	8.509666051
57	8.457945903
58	8.396245491
59	8.365126326
60	8.335218684
61	8.288634488
62	8.259337965
63	8.220898416
64	8.171546622
65	8.114863483
66	8.053856618
67	8.04269078
68	8.015030545
69	8.014502527
70	8.004169356
71	7.990039723
72	7.984371887
73	7.948026129
74	7.921065518
75	7.837868756
76	7.811254999
77	7.785228602
78	7.739967233
79	7.691622218
80	7.639551273
81	7.601153452
82	7.534700688
83	7.52992033
84	7.493020089
85	7.481368055
86	7.428719569
87	7.413720561
88	7.402755243
89	7.356665964
90	7.344123499
91	7.33307971
92	7.326754934
93	7.313819522
94	7.27570395
95	7.240994234
96	7.22724483
97	7.224623343
98	7.205735579
99	7.201044138
100	7.175174145
101	7.165199879
102	7.141611546
103	7.120458371
104	7.114514997
105	7.072162531
106	7.030632919
107	6.994875567
108	6.972857892
109	6.971435346
110	6.964636584
111	6.963054777
112	6.961173497
113	6.948772654
114	6.927120575
115	6.911105392
116	6.856205941
117	6.823300649
118	6.807271201
119	6.794448717
120	6.780269581
121	6.761367807
122	6.73868886
123	6.735519273
124	6.719725129
125	6.67963777
126	6.666404971
127	6.646300203
128	6.634213876
129	6.630064235
130	6.587493171
131	6.584070156
132	6.541731091
133	6.537235277
134	6.511263676
135	6.487174363
136	6.481590873
137	6.467208972
138	6.441542288
139	6.43984234
140	6.419725856
141	6.402093317
142	6.376174677
143	6.363487771
144	6.342321982
145	6.317320491
146	6.272164594
147	6.266042517
148	6.256928636
149	6.243791532
150	6.204252275
151	6.196330918
152	6.179942079
153	6.178724699
154	6.170382909
155	6.159744331
156	6.11259044
157	6.109016248
158	6.092482479
159	6.074122158
160	6.066204089
161	6.054340598
162	6.047866103
163	6.039624109
164	6.035765347
165	6.006573268
166	5.993545237
167	5.989236748
168	5.97590789
169	5.973312757
170	5.947027745
171	5.931750424
172	5.917668396
173	5.897663052
174	5.890400187
175	5.885191282
176	5.868979064
177	5.843228878
178	5.833587113
179	5.807499051
180	5.786964204
181	5.782821761
182	5.770889422
183	5.765133407
184	5.752214375
185	5.737471208
186	5.732918376
187	5.714216503
188	5.702747362
189	5.675724501
190	5.670421061
191	5.665346429
192	5.652659384
193	5.641224789
194	5.623536748
195	5.60497082
196	5.601087186
197	5.594725123
198	5.577360514
199	5.566002457
200	5.551948359
201	5.550932598
202	5.544085139
203	5.536572197
204	5.533685212
205	5.525943638
206	5.514199198
207	5.507072298
208	5.501075505
209	5.492943944
210	5.474180721
211	5.44902505
212	5.44211725
213	5.435082504
214	5.431565458
215	5.421739702
216	5.415627637
217	5.404696646
218	5.402491678
219	5.393375749
220	5.36638474
221	5.355873456
222	5.350358673
223	5.347480564
224	5.343854762
225	5.336879769
226	5.335855037
227	5.32832764
228	5.30631748
229	5.28946094
230	5.273012016
231	5.259101087
232	5.25258612
233	5.240463955
234	5.225509082
235	5.217648076
236	5.206875021
237	5.193648476
238	5.190803993
239	5.18754268
240	5.17574518
241	5.161237213
242	5.14634093
243	5.138594013
244	5.122432937
245	5.119897955
246	5.105892869
247	5.087643289
248	5.08287732
249	5.072052133
250	5.057749698
251	5.048344691
252	5.021340247
253	5.006667523
254	4.996482176
255	4.980672408
256	4.970156605
257	4.952977267
258	4.943565419
259	4.939806555
260	4.931329316
261	4.91864663
262	4.915072755
263	4.912322698
264	4.897178118
265	4.888603673
266	4.882914446
267	4.867267971
268	4.849294973
269	4.837782837
270	4.827475987
271	4.822004369
272	4.821252922
273	4.821009066
274	4.807432697
275	4.802531717
276	4.7969878
277	4.77841
278	4.776028457
279	4.769298983
280	4.762018887
281	4.748780209
282	4.734780687
283	4.730973181
284	4.718461849
285	4.71209085
286	4.711079219
287	4.705281929
288	4.694282561
289	4.687022229
290	4.679807844
291	4.675554859
292	4.670904316
293	4.65822811
294	4.654486244
