iter	Passed	Remaining
0	3	3904
1	5	2643
2	17	5848
3	21	5343
4	32	6476
5	33	5481
6	33	4788
7	35	4376
8	37	4173
9	50	4995
10	55	4951
11	57	4709
12	58	4414
13	58	4154
14	61	4057
15	63	3931
16	69	4027
17	82	4523
18	86	4461
19	98	4803
20	102	4756
21	114	5071
22	124	5301
23	136	5534
24	148	5776
25	160	6005
26	171	6175
27	182	6349
28	195	6538
29	196	6350
30	210	6587
31	224	6785
32	237	6970
33	239	6811
34	252	6954
35	267	7158
36	278	7259
37	285	7216
38	290	7167
39	305	7322
40	318	7457
41	332	7585
42	335	7455
43	349	7590
44	351	7452
45	366	7611
46	383	7776
47	389	7727
48	403	7823
49	417	7927
50	430	8009
51	445	8124
52	459	8215
53	474	8311
54	475	8161
55	489	8250
56	489	8104
57	504	8186
58	518	8264
59	531	8319
60	544	8388
61	558	8442
62	570	8488
63	585	8569
64	599	8624
65	614	8690
66	628	8746
67	640	8774
68	651	8785
69	652	8668
70	656	8596
71	667	8601
72	674	8564
73	685	8580
74	696	8593
75	708	8611
76	719	8620
77	731	8641
78	743	8666
79	755	8688
80	768	8723
81	780	8741
82	793	8763
83	805	8778
84	817	8800
85	827	8799
86	840	8816
87	850	8813
88	863	8841
89	877	8875
90	889	8884
91	901	8898
92	913	8904
93	924	8909
94	935	8915
95	948	8934
96	962	8956
97	974	8966
98	987	8984
99	990	8912
100	1004	8937
101	1015	8943
102	1028	8956
103	1041	8969
104	1053	8981
105	1068	9015
106	1082	9034
107	1097	9065
108	1109	9073
109	1112	9003
110	1125	9012
111	1137	9016
112	1142	8968
113	1156	8989
114	1171	9017
115	1184	9023
116	1200	9062
117	1215	9084
118	1225	9076
119	1238	9080
120	1250	9083
121	1260	9071
122	1271	9063
123	1281	9055
124	1293	9052
125	1304	9050
126	1315	9040
127	1328	9048
128	1338	9040
129	1349	9034
130	1362	9039
131	1374	9039
132	1385	9034
133	1388	8976
134	1400	8973
135	1413	8978
136	1425	8977
137	1438	8983
138	1450	8985
139	1462	8982
140	1474	8983
141	1486	8984
142	1500	8994
143	1513	8994
144	1524	8991
145	1536	8987
146	1549	8989
147	1560	8982
148	1573	8987
149	1587	8993
150	1599	8995
151	1612	8998
152	1625	9000
153	1630	8959
154	1642	8953
155	1654	8952
156	1668	8957
157	1675	8929
158	1688	8930
159	1699	8923
160	1712	8925
161	1726	8930
162	1738	8926
163	1750	8922
164	1761	8916
165	1777	8929
166	1790	8930
167	1803	8930
168	1817	8938
169	1831	8942
170	1843	8938
171	1855	8934
172	1867	8929
173	1882	8934
174	1896	8938
175	1909	8938
176	1920	8931
177	1934	8933
178	1946	8928
179	1959	8926
180	1972	8923
181	1985	8922
182	1999	8927
183	2013	8928
184	2029	8941
185	2045	8949
186	2048	8907
187	2061	8904
188	2074	8901
189	2090	8911
190	2103	8908
191	2117	8911
192	2132	8914
193	2149	8928
194	2164	8935
195	2181	8950
196	2194	8946
197	2197	8902
198	2215	8917
199	2229	8919
200	2243	8918
201	2257	8916
202	2272	8923
203	2287	8926
204	2301	8924
205	2317	8932
206	2329	8924
207	2344	8927
208	2359	8931
209	2371	8921
210	2386	8925
211	2401	8925
212	2414	8921
213	2428	8918
214	2440	8910
215	2452	8900
216	2463	8889
217	2477	8886
218	2488	8874
219	2501	8868
220	2516	8870
221	2528	8862
222	2542	8858
223	2548	8827
224	2562	8825
225	2577	8826
226	2589	8817
227	2603	8815
228	2617	8813
229	2630	8806
230	2644	8802
231	2657	8798
232	2671	8793
233	2686	8793
234	2699	8787
235	2713	8783
236	2726	8779
237	2740	8774
238	2754	8769
239	2766	8761
240	2780	8756
241	2793	8751
242	2807	8745
243	2821	8741
244	2834	8733
245	2839	8704
246	2853	8699
247	2868	8697
248	2881	8689
249	2894	8682
250	2907	8677
251	2922	8675
252	2938	8676
253	2950	8666
254	2965	8662
255	2980	8661
256	2996	8661
257	3009	8654
258	3022	8648
259	3037	8644
260	3050	8636
261	3062	8626
262	3076	8621
263	3089	8613
264	3103	8607
265	3119	8607
266	3133	8603
267	3147	8598
268	3164	8598
269	3178	8592
270	3193	8589
271	3208	8586
272	3220	8575
273	3223	8541
274	3238	8537
275	3252	8532
276	3267	8529
277	3284	8528
278	3299	8527
279	3313	8521
280	3328	8516
281	3342	8511
282	3358	8509
283	3362	8477
284	3376	8471
285	3390	8463
286	3393	8430
287	3407	8424
288	3422	8420
289	3435	8412
290	3450	8407
291	3456	8381
292	3472	8377
293	3486	8371
294	3499	8363
295	3504	8335
296	3519	8331
297	3534	8326
298	3548	8319
299	3563	8314
300	3578	8309
301	3593	8304
302	3605	8293
303	3618	8285
304	3636	8286
305	3658	8297
306	3674	8293
307	3693	8298
308	3719	8317
309	3734	8312
310	3747	8302
311	3761	8295
312	3776	8288
313	3789	8279
314	3805	8276
315	3810	8247
316	3825	8242
317	3842	8241
318	3856	8233
319	3860	8203
320	3877	8202
321	3893	8197
322	3908	8192
323	3923	8186
324	3940	8184
325	3954	8175
326	3968	8167
327	3982	8160
328	3996	8151
329	4010	8141
330	4022	8129
331	4035	8120
332	4049	8110
333	4063	8102
334	4074	8088
335	4088	8079
336	4101	8069
337	4115	8059
338	4128	8050
339	4142	8042
340	4153	8027
341	4167	8018
342	4178	8004
343	4190	7991
344	4204	7982
345	4222	7982
346	4236	7972
347	4251	7965
348	4264	7954
349	4276	7942
350	4290	7933
351	4307	7928
352	4321	7919
353	4325	7892
354	4337	7880
355	4351	7871
356	4362	7857
357	4377	7849
358	4387	7833
359	4398	7818
360	4409	7804
361	4421	7792
362	4433	7779
363	4445	7767
364	4456	7752
365	4467	7739
366	4486	7738
367	4501	7731
368	4518	7726
369	4531	7716
370	4544	7704
371	4558	7694
372	4568	7678
373	4583	7671
374	4596	7660
375	4606	7645
376	4622	7638
377	4636	7630
378	4650	7620
379	4662	7607
380	4677	7599
381	4691	7590
382	4706	7582
383	4720	7572
384	4733	7560
385	4736	7533
386	4750	7524
387	4763	7513
388	4776	7502
389	4790	7492
390	4804	7482
391	4817	7472
392	4833	7465
393	4845	7452
394	4851	7431
395	4865	7420
396	4880	7413
397	4893	7402
398	4909	7394
399	4923	7384
400	4938	7376
401	4952	7366
402	4966	7356
403	4981	7348
404	4995	7339
405	5008	7327
406	5019	7313
407	5033	7303
408	5049	7296
409	5064	7288
410	5079	7279
411	5095	7271
412	5104	7255
413	5118	7244
414	5131	7233
415	5145	7224
416	5161	7215
417	5174	7204
418	5188	7194
419	5196	7176
420	5210	7166
421	5224	7156
422	5237	7144
423	5251	7133
424	5265	7124
425	5279	7114
426	5294	7105
427	5308	7095
428	5323	7086
429	5336	7073
430	5350	7063
431	5367	7056
432	5383	7049
433	5397	7039
434	5416	7034
435	5437	7033
436	5451	7023
437	5464	7011
438	5478	7000
439	5493	6991
440	5506	6980
441	5522	6971
442	5537	6963
443	5552	6953
444	5555	6928
445	5568	6917
446	5582	6906
447	5594	6893
448	5608	6882
449	5622	6871
450	5638	6863
451	5654	6855
452	5672	6850
453	5692	6845
454	5708	6837
455	5722	6827
456	5736	6816
457	5756	6812
458	5774	6806
459	5792	6800
460	5809	6792
461	5827	6785
462	5845	6779
463	5862	6771
464	5878	6763
465	5893	6753
466	5910	6745
467	5928	6739
468	5948	6734
469	5961	6722
470	5979	6716
471	5993	6704
472	5997	6682
473	6019	6679
474	6046	6682
475	6050	6661
476	6077	6663
477	6101	6663
478	6116	6652
479	6133	6644
480	6152	6638
481	6171	6632
482	6190	6625
483	6206	6617
484	6221	6605
485	6236	6595
486	6258	6592
487	6278	6586
488	6294	6578
489	6314	6572
490	6330	6562
491	6348	6554
492	6362	6542
493	6380	6535
494	6395	6524
495	6411	6515
496	6428	6506
497	6446	6497
498	6462	6488
499	6475	6475
500	6491	6465
501	6504	6452
502	6517	6440
503	6530	6426
504	6541	6411
505	6553	6398
506	6566	6384
507	6577	6370
508	6580	6348
509	6593	6335
510	6606	6322
511	6620	6309
512	6635	6299
513	6653	6291
514	6666	6277
515	6689	6274
516	6708	6267
517	6725	6258
518	6741	6248
519	6759	6239
520	6761	6216
521	6781	6210
522	6799	6201
523	6822	6197
524	6896	6239
525	6924	6239
526	6954	6241
527	6977	6237
528	7002	6234
529	7014	6220
530	7028	6207
531	7043	6196
532	7057	6183
533	7069	6168
534	7084	6157
535	7098	6144
536	7113	6132
537	7126	6119
538	7139	6106
539	7149	6090
540	7156	6071
541	7170	6059
542	7181	6044
543	7193	6029
544	7205	6015
545	7218	6002
546	7231	5988
547	7244	5975
548	7255	5960
549	7269	5947
550	7281	5933
551	7293	5919
552	7305	5905
553	7319	5892
554	7330	5877
555	7343	5863
556	7356	5851
557	7370	5838
558	7378	5821
559	7394	5809
560	7408	5797
561	7422	5784
562	7437	5773
563	7452	5761
564	7459	5742
565	7473	5730
566	7476	5709
567	7490	5697
568	7497	5678
569	7513	5668
570	7529	5657
571	7543	5644
572	7558	5632
573	7572	5620
574	7587	5608
575	7590	5587
576	7604	5574
577	7619	5563
578	7632	5549
579	7647	5537
580	7660	5524
581	7674	5511
582	7688	5499
583	7702	5486
584	7716	5474
585	7728	5460
586	7741	5446
587	7755	5433
588	7770	5422
589	7783	5408
590	7796	5395
591	7810	5382
592	7822	5368
593	7834	5355
594	7849	5343
595	7862	5329
596	7876	5316
597	7891	5304
598	7903	5290
599	7915	5276
600	7928	5263
601	7941	5250
602	7953	5236
603	7968	5224
604	7980	5210
605	7992	5196
606	8008	5185
607	8029	5176
608	8050	5168
609	8067	5157
610	8084	5147
611	8101	5136
612	8116	5124
613	8130	5111
614	8135	5092
615	8152	5082
616	8167	5070
617	8186	5060
618	8213	5055
619	8244	5053
620	8271	5048
621	8294	5040
622	8308	5027
623	8326	5017
624	8343	5005
625	8358	4993
626	8372	4980
627	8387	4968
628	8403	4956
629	8421	4946
630	8427	4928
631	8443	4916
632	8459	4904
633	8475	4892
634	8492	4881
635	8513	4872
636	8529	4860
637	8544	4848
638	8564	4838
639	8583	4828
640	8602	4817
641	8619	4806
642	8624	4788
643	8644	4778
644	8664	4768
645	8681	4757
646	8697	4745
647	8701	4726
648	8717	4714
649	8731	4701
650	8747	4689
651	8760	4675
652	8774	4662
653	8787	4648
654	8801	4635
655	8814	4622
656	8825	4607
657	8836	4592
658	8849	4579
659	8863	4566
660	8877	4552
661	8892	4540
662	8906	4527
663	8920	4514
664	8934	4500
665	8948	4487
666	8964	4475
667	8978	4462
668	8992	4449
669	9005	4435
670	9008	4417
671	9022	4403
672	9031	4388
673	9046	4375
674	9054	4359
675	9069	4347
676	9083	4333
677	9096	4320
678	9110	4306
679	9123	4293
680	9135	4279
681	9138	4261
682	9146	4245
683	9158	4231
684	9172	4218
685	9183	4203
686	9188	4186
687	9201	4172
688	9212	4158
689	9225	4144
